[1] "############# New Run #################"

 Number of Raw Subjects: 87 

                     sn  pCorrect       mRT       sdRT        cv
40 817031_220308_183231 0.9375000  553.8563  197.19178 0.3560342
41 817031_220311_022440 0.9395833  574.0812  225.64506 0.3930542
42 817031_220314_155320 0.9583333  572.7729  209.22721 0.3652882
43 817031_220315_181937 0.9020833  544.0708  467.34896 0.8589855
44 817031_220315_202249 0.9166667  452.2708  147.90112 0.3270189
45 817031_220315_233243 0.9770833  612.2833  299.60313 0.4893211
46 817031_220316_223532 0.9291667  483.1604  110.78421 0.2292907
47 904432_220217_160923 0.8041667  690.4896  689.04513 0.9979081
48 904432_220218_215932 0.9958333  607.8542  247.28130 0.4068102
49 904432_220221_210316 0.9729167  561.2354  198.15184 0.3530637
50 904432_220223_213830 0.9645833  495.4583  267.89662 0.5407046
51 904432_220225_155437 0.9208333  733.9104  585.34952 0.7975762
52 904432_220225_214104 0.9458333  476.6187  168.83700 0.3542391
53 904432_220226_023931 0.9333333  556.7396  392.21564 0.7044867
54 904432_220227_230826 0.9666667  490.8083  108.40543 0.2208712
55 904432_220228_005622 0.9791667  491.3313   97.48039 0.1984006
56 904432_220301_042546 0.9395833  527.8625  225.72663 0.4276239
57 904432_220302_065330 0.9645833  571.3729  211.19427 0.3696260
58 904432_220304_014042 0.8250000  485.7250  234.00429 0.4817629
59 904432_220304_031909 0.9729167  892.2563  972.61654 1.0900641
60 904432_220307_233848 0.9479167  675.8792  583.63087 0.8635136
61 904432_220309_212836 0.9416667  538.1208  316.13707 0.5874834
62 904432_220311_231234 0.9729167  483.6333  117.44368 0.2428362
63 904432_220312_215844 0.9812500  571.7125  173.28140 0.3030918
64 904432_220314_221840 0.9562500  664.6083  318.38260 0.4790530
65 904432_220315_195634 0.9729167  542.8458  314.34407 0.5790669
66 904432_220315_232917 0.9520833  403.3375   88.09870 0.2184243
67 904432_220317_005036 0.9750000  448.0104   79.56262 0.1775910
68 995587_220216_002810 0.9604167  792.7208 1175.27261 1.4825807
69 995587_220217_160508 0.9916667  506.0208  121.73035 0.2405639
70 995587_220218_011833 0.9520833  484.2792  136.35033 0.2815532
71 995587_220218_135906 0.9604167  626.9521  417.46155 0.6658588
72 995587_220221_002436 0.9916667  564.6208  238.14356 0.4217761
73 995587_220221_162835 0.9500000  482.4875  128.15632 0.2656158
74 995587_220222_005813 0.9458333  498.3792  141.86051 0.2846437
75 995587_220223_152822 0.9791667  763.2083  960.45398 1.2584427
76 995587_220224_034937 0.9645833  613.7021  448.12159 0.7301940
77 995587_220227_025211 0.9208333  529.3604  201.55753 0.3807567
78 995587_220228_193605 0.9812500  588.0125  266.31426 0.4529058
79 995587_220304_020408 0.9875000  980.6688 1262.79955 1.2876922
80 995587_220306_181936 0.9458333  518.7229  145.11985 0.2797637
81 995587_220310_230835 0.9208333 1219.1771 7038.81915 5.7734182
82 995587_220311_002331 0.9812500  584.7917  245.08990 0.4191063
83 995587_220313_162837 0.9541667  523.6729  245.79067 0.4693591
84 995587_220314_163844 0.9687500  437.5729  129.47788 0.2959001
85 995587_220315_204325 0.8895833  579.3229  230.91382 0.3985926
86 995587_220315_234707 0.9437500  588.2812  239.47932 0.4070830
87 995587_220320_215629 0.9687500  590.8417  206.77148 0.3499609

 Number of Removed Subjects because of error > 0.15 : 2 

                     sn  pCorrect      mRT     sdRT        cv
47 904432_220217_160923 0.8041667 690.4896 689.0451 0.9979081
58 904432_220304_014042 0.8250000 485.7250 234.0043 0.4817629

 Number of Removed Subjects because of CV > 0.95 quintile: 5 
                     sn  pCorrect       mRT     sdRT       cv      lowQ    highQ
26 817031_220216_184632 0.9104167 1196.6417 3478.678 2.907034 0.1516412 1.281842
29 817031_220221_052655 0.9500000  631.2687 2298.577 3.641202 0.1516412 1.281842
68 995587_220216_002810 0.9604167  792.7208 1175.273 1.482581 0.1516412 1.281842
79 995587_220304_020408 0.9875000  980.6688 1262.800 1.287692 0.1516412 1.281842
81 995587_220310_230835 0.9208333 1219.1771 7038.819 5.773418 0.1516412 1.281842

 Number of Final Subjects: 80
 Final Subjects:

                     sn      mRT      sdRT  pCorrect        cv
1  501129_220215_210640 526.7577 180.30404 0.9867841 0.3422903
2  501129_220216_184810 513.8195 146.21393 0.9830149 0.2845628
3  501129_220217_225635 506.1201 148.06985 0.9759825 0.2925587
4  501129_220218_185444 431.2919  97.72101 0.9683258 0.2265774
5  501129_220220_220100 560.1900 134.33775 0.9937370 0.2398075
6  501129_220221_060201 431.0984 116.59035 0.9664430 0.2704495
7  501129_220224_004022 536.4653 129.45066 0.9852632 0.2413030
8  501129_220224_191356 530.9083 124.48587 0.9875000 0.2344771
9  501129_220224_195934 506.4307 111.68277 0.9873950 0.2205292
10 501129_220227_023819 574.2866 138.84847 0.9832636 0.2417756
11 501129_220227_232757 475.3803 128.54466 0.9574944 0.2704038
12 501129_220228_172131 452.7466 117.51655 0.9638009 0.2595636
13 501129_220301_193917 532.4388 144.47271 0.9725738 0.2713414
14 501129_220303_061829 573.3470 152.14760 0.9849138 0.2653674
15 501129_220303_223121 559.1255 168.99027 0.9675325 0.3022403
16 501129_220305_193732 568.6432 181.92190 0.9318182 0.3199228
17 501129_220307_195157 507.1517 146.31003 0.9294872 0.2884936
18 501129_220310_181539 602.8473 199.04747 0.9856802 0.3301789
19 501129_220312_210303 628.7700 203.15836 0.9460094 0.3231044
20 501129_220313_231500 444.2331 106.16778 0.9673203 0.2389912
21 501129_220314_173435 522.5239 164.57396 0.9760870 0.3149597
22 501129_220315_233100 531.3539 159.25565 0.9637527 0.2997167
23 501129_220316_193144 488.4766 142.41716 0.9042056 0.2915537
24 501129_220318_210003 485.2222 148.62533 0.9651416 0.3063036
25 817031_220215_205524 433.1029  85.37805 0.9463087 0.1971311
26 817031_220216_220240 590.8562 150.45560 0.9623894 0.2546400
27 817031_220219_214540 561.5492 161.39868 0.9846827 0.2874168
28 817031_220221_231428 421.1244  74.38501 0.9647887 0.1766343
29 817031_220223_043324 474.8248  96.78557 0.9444444 0.2038343
30 817031_220224_180312 521.4044 142.35234 0.9406593 0.2730171
31 817031_220224_213710 494.6458  75.00867 0.9833333 0.1516412
32 817031_220227_200548 442.3940  88.44087 0.9400922 0.1999142
33 817031_220302_004602 611.7768 139.21156 0.9873684 0.2275528
34 817031_220303_213702 610.8607 175.24297 0.9601990 0.2868788
35 817031_220303_220444 467.5217  93.12712 0.9543478 0.1991931
36 817031_220304_024813 490.0940 113.18223 0.9786325 0.2309398
37 817031_220307_001559 477.2981  77.34477 0.9471459 0.1620471
38 817031_220308_183231 532.9957 140.83929 0.9375000 0.2642410
39 817031_220311_022440 546.6147 140.95814 0.9465479 0.2578748
40 817031_220314_155320 562.9673 143.56797 0.9629630 0.2550201
41 817031_220315_181937 497.3996 135.08677 0.9050773 0.2715860
42 817031_220315_202249 461.9670 111.95536 0.9339623 0.2423449
43 817031_220315_233243 562.2534 171.65432 0.9773756 0.3052971
44 817031_220316_223532 487.4530 108.83343 0.9316239 0.2232696
45 904432_220218_215932 584.9571 167.59664 0.9957082 0.2865110
46 904432_220221_210316 553.3333 155.74635 0.9760349 0.2814693
47 904432_220223_213830 469.6041 147.30064 0.9633867 0.3136698
48 904432_220225_155437 575.9716 191.85171 0.9172577 0.3330923
49 904432_220225_214104 474.1438 131.08936 0.9535398 0.2764760
50 904432_220226_023931 505.1285 142.07936 0.9324619 0.2812737
51 904432_220227_230826 487.5962  96.21697 0.9665272 0.1973292
52 904432_220228_005622 491.6973  97.25153 0.9791232 0.1977874
53 904432_220301_042546 524.2615 155.45063 0.9450549 0.2965135
54 904432_220302_065330 558.1628 164.76424 0.9640592 0.2951903
55 904432_220304_031909 624.0840 200.52725 0.9720102 0.3213145
56 904432_220307_233848 596.4452 166.48155 0.9473684 0.2791230
57 904432_220309_212836 520.5828 160.98836 0.9462366 0.3092464
58 904432_220311_231234 487.0212 115.18485 0.9766949 0.2365089
59 904432_220312_215844 565.5315 160.00089 0.9831933 0.2829213
60 904432_220314_221840 623.4978 180.55568 0.9547414 0.2895851
61 904432_220315_195634 507.8645 139.99231 0.9741935 0.2756489
62 904432_220315_232917 422.6025  83.71921 0.9650000 0.1981039
63 904432_220317_005036 450.1568  78.48792 0.9766949 0.1743568
64 995587_220217_160508 505.4717 117.78078 0.9916143 0.2330116
65 995587_220218_011833 485.0969 107.74448 0.9515419 0.2221092
66 995587_220218_135906 543.3093 143.68953 0.9571106 0.2644710
67 995587_220221_002436 546.9488 140.91775 0.9914712 0.2576434
68 995587_220221_162835 480.2830 101.69547 0.9531915 0.2117407
69 995587_220222_005813 494.0105 104.51947 0.9451477 0.2115734
70 995587_220223_152822 602.8991 156.60755 0.9775785 0.2597575
71 995587_220224_034937 551.9759 136.19366 0.9627193 0.2467384
72 995587_220227_025211 515.5991 129.90798 0.9281046 0.2519554
73 995587_220228_193605 551.9022 134.94381 0.9869565 0.2445068
74 995587_220306_181936 512.3002 115.28288 0.9471459 0.2250299
75 995587_220311_002331 548.4459 149.90982 0.9805195 0.2733357
76 995587_220313_162837 511.7966 128.51086 0.9550321 0.2510975
77 995587_220314_163844 439.9011  90.15787 0.9736264 0.2049503
78 995587_220315_204325 552.5078 138.63441 0.8997773 0.2509185
79 995587_220315_234707 559.2130 139.64777 0.9551570 0.2497220
80 995587_220320_215629 568.5909 156.08681 0.9696970 0.2745151


 Proportion removed trials because RTs exceeded criterion for each subject: 0.04950521 




############################# NORMAL ############################# 


 ############### Mixed Model Regression assessing Numerical Distance ###############


 ############ Full Welford Model ############n

 ##### summary output #####

Linear mixed model fit by REML. t-tests use Satterthwaite's method ['lmerModLmerTest']
Formula: numDistLmeFormula
   Data: df.hand.tmp
Control: lmerControl(check.conv.grad = .makeCC("warning", tol = 0.02,      relTol = NULL), optimizer = "Nelder_Mead")

REML criterion at convergence: 5231.6

Scaled residuals: 
    Min      1Q  Median      3Q     Max 
-3.4887 -0.6138 -0.0481  0.5977  3.3392 

Random effects:
 Groups     Name        Variance Std.Dev.
 Numbers:sn (Intercept)    0      0.00   
 sn         (Intercept) 2872     53.59   
 Residual               1152     33.94   
Number of obs: 516, groups:  Numbers:sn, 258; sn, 43

Fixed effects:
            Estimate Std. Error      df t value Pr(>|t|)    
(Intercept)  487.994     10.781 114.363   45.26   <2e-16 ***
wel           38.991      2.856 471.000   13.65   <2e-16 ***
relFive       -4.222      4.059 471.000   -1.04    0.299    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Correlation of Fixed Effects:
        (Intr) wel   
wel     -0.323       
relFive -0.567  0.058
optimizer (Nelder_Mead) convergence code: 0 (OK)
boundary (singular) fit: see help('isSingular')


 ##### anova output #####

Type III Analysis of Variance Table with Satterthwaite's method
        Sum Sq Mean Sq NumDF DenDF  F value Pr(>F)    
wel     214696  214696     1   471 186.4075 <2e-16 ***
relFive   1246    1246     1   471   1.0821 0.2988    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

 ## r-square ##

            R2m       R2c
[1,] 0.09541446 0.7410514



############################# MIRROR ############################# 


 ############### Mixed Model Regression assessing Numerical Distance ###############


 ############ Full Welford Model ############n

 ##### summary output #####

Linear mixed model fit by REML. t-tests use Satterthwaite's method ['lmerModLmerTest']
Formula: numDistLmeFormula
   Data: df.hand.tmp
Control: lmerControl(check.conv.grad = .makeCC("warning", tol = 0.02,      relTol = NULL), optimizer = "Nelder_Mead")

REML criterion at convergence: 4492.8

Scaled residuals: 
    Min      1Q  Median      3Q     Max 
-2.3381 -0.6520 -0.0268  0.5466  3.6408 

Random effects:
 Groups     Name        Variance Std.Dev.
 Numbers:sn (Intercept)    0      0.00   
 sn         (Intercept) 2468     49.68   
 Residual               1154     33.98   
Number of obs: 444, groups:  Numbers:sn, 222; sn, 37

Fixed effects:
            Estimate Std. Error       df t value Pr(>|t|)    
(Intercept) 488.1472     9.3168  56.1642  52.394  < 2e-16 ***
wel          24.2503     3.3455 403.9999   7.249 2.16e-12 ***
relFive      -2.0206     0.9699 403.9999  -2.083  0.03784 *  
simSelf       7.5867     2.3474 403.9999   3.232  0.00133 ** 
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Correlation of Fixed Effects:
        (Intr) wel    relFiv
wel     -0.258              
relFive -0.196 -0.038       
simSelf -0.209 -0.391  0.184
optimizer (Nelder_Mead) convergence code: 0 (OK)
boundary (singular) fit: see help('isSingular')


 ##### anova output #####

Type III Analysis of Variance Table with Satterthwaite's method
        Sum Sq Mean Sq NumDF DenDF F value    Pr(>F)    
wel      60654   60654     1   404 52.5421 2.158e-12 ***
relFive   5011    5011     1   404  4.3407   0.03784 *  
simSelf  12058   12058     1   404 10.4453   0.00133 ** 
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

 ## r-square ##

            R2m       R2c
[1,] 0.07049598 0.7037726



 ###############  NORMAL  ###############n

 --------- SNARC 

Call:
lm(formula = snarcFormula, data = df.tmp)

Residuals:
     Min       1Q   Median       3Q      Max 
-179.056  -35.662    5.743   34.793  135.382 

Coefficients:
            Estimate Std. Error t value Pr(>|t|)  
(Intercept)   29.398     14.790   1.988   0.0479 *
Numbers       -1.203      1.230  -0.978   0.3292  
relFive      -21.323      8.829  -2.415   0.0164 *
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 52.27 on 255 degrees of freedom
Multiple R-squared:  0.02552,	Adjusted R-squared:  0.01788 
F-statistic: 3.339 on 2 and 255 DF,  p-value: 0.03703




 ###############  MIRROR  ###############n

 --------- SNARC 

Call:
lm(formula = snarcFormula, data = df.tmp)

Residuals:
     Min       1Q   Median       3Q      Max 
-168.155  -35.021    0.619   39.747  129.315 

Coefficients:
            Estimate Std. Error t value Pr(>|t|)
(Intercept)  -2.7484    10.9182  -0.252    0.801
Numbers      -2.3058     1.5404  -1.497    0.136
relFive      -0.3253     2.3107  -0.141    0.888
simSelf       6.7531     5.0935   1.326    0.186

Residual standard error: 54.21 on 218 degrees of freedom
Multiple R-squared:  0.01423,	Adjusted R-squared:  0.0006661 
F-statistic: 1.049 on 3 and 218 DF,  p-value: 0.3717

